Estado,Microregiões,Municípios,Hectares, Região (%)
Maranhão,15,135,25.982.346,33
Tocantins,8,139,27.772.052,38
Piauí,4,33,8.204.588,11
Bahia,4,30,27.772.052,18
MATOPIBA,31,337,73.173.485,100
